,SPY,
22/4/2012,$11435.38,
23/4/2012,$11435.38,
24/4/2012,$11435.38,
25/4/2012,$11551.48,
26/4/2012,$11760.03,
27/4/2012,$11809.48,
28/4/2012,$11809.48,
29/4/2012,$11809.48,
30/4/2012,$11697.68,
1/5/2012,$11884.73,
2/5/2012,$11794.43,
3/5/2012,$11564.38,
4/5/2012,$11407.43,
5/5/2012,$11407.43,
6/5/2012,$11407.43,
7/5/2012,$11407.43,
8/5/2012,$11407.43,
9/5/2012,$11407.43,
10/5/2012,$11407.43,
11/5/2012,$11407.43,
12/5/2012,$11407.43,
13/5/2012,$11407.43,
14/5/2012,$11407.43,
15/5/2012,$11407.43,
16/5/2012,$11407.43,
17/5/2012,$11407.43,
18/5/2012,$11407.43,
19/5/2012,$11407.43,
20/5/2012,$11407.43,
21/5/2012,$11407.43,
22/5/2012,$11407.43,
23/5/2012,$11407.43,
24/5/2012,$11407.43,
25/5/2012,$11407.43,
26/5/2012,$11407.43,
27/5/2012,$11407.43,
28/5/2012,$11407.43,
29/5/2012,$11407.43,
30/5/2012,$11407.43,
31/5/2012,$11407.43,
1/6/2012,$11407.43,
2/6/2012,$11407.43,
3/6/2012,$11407.43,
4/6/2012,$11407.43,
5/6/2012,$11407.43,
6/6/2012,$11407.43,
7/6/2012,$11407.43,
8/6/2012,$11407.43,
9/6/2012,$11407.43,
10/6/2012,$11407.43,
11/6/2012,$11407.43,
12/6/2012,$11407.43,
13/6/2012,$11407.43,
14/6/2012,$11407.43,
15/6/2012,$11407.43,
16/6/2012,$11407.43,
17/6/2012,$11407.43,
18/6/2012,$11407.43,
19/6/2012,$11543.83,
20/6/2012,$11495.43,
21/6/2012,$11530.63,
22/6/2012,$11530.63,
23/6/2012,$11530.63,
24/6/2012,$11530.63,
25/6/2012,$11530.63,
26/6/2012,$11530.63,
27/6/2012,$11530.63,
28/6/2012,$11530.63,
29/6/2012,$11725.03,
30/6/2012,$11725.03,
1/7/2012,$11725.03,
2/7/2012,$11813.59,
3/7/2012,$12007.99,
4/7/2012,$12007.99,
5/7/2012,$11874.07,
6/7/2012,$11593.27,
7/7/2012,$11593.27,
8/7/2012,$11593.27,
9/7/2012,$11556.55,
10/7/2012,$11301.67,
11/7/2012,$11305.99,
12/7/2012,$11137.51,
13/7/2012,$11543.86,
14/7/2012,$11543.86,
15/7/2012,$11543.86,
16/7/2012,$11475.06,
17/7/2012,$11675.01,
18/7/2012,$11892.16,
19/7/2012,$11969.56,
20/7/2012,$11698.66,
21/7/2012,$11698.66,
22/7/2012,$11698.66,
23/7/2012,$11401.96,
24/7/2012,$11152.56,
25/7/2012,$11159.01,
26/7/2012,$11634.16,
27/7/2012,$12173.81,
28/7/2012,$12173.81,
29/7/2012,$12173.81,
30/7/2012,$12173.81,
31/7/2012,$11965.26,
1/8/2012,$11939.46,
2/8/2012,$11735.21,
3/8/2012,$12317.86,
4/8/2012,$12317.86,
5/8/2012,$12317.86,
6/8/2012,$12375.91,
7/8/2012,$12526.41,
8/8/2012,$12562.96,
9/8/2012,$12588.76,
10/8/2012,$12638.21,
11/8/2012,$12638.21,
12/8/2012,$12638.21,
13/8/2012,$12623.16,
14/8/2012,$12627.46,
15/8/2012,$12661.86,
16/8/2012,$12885.46,
17/8/2012,$12926.31,
18/8/2012,$12926.31,
19/8/2012,$12926.31,
20/8/2012,$12928.46,
21/8/2012,$12836.01,
22/8/2012,$12848.91,
23/8/2012,$12599.51,
24/8/2012,$12782.26,
25/8/2012,$12782.26,
26/8/2012,$12782.26,
27/8/2012,$12788.71,
28/8/2012,$12758.61,
29/8/2012,$12782.26,
30/8/2012,$12562.96,
31/8/2012,$12707.01,
1/9/2012,$12707.01,
2/9/2012,$12707.01,
3/9/2012,$12707.01,
4/9/2012,$12679.06,
5/9/2012,$12653.26,
6/9/2012,$13268.16,
7/9/2012,$13388.56,
8/9/2012,$13388.56,
9/9/2012,$13388.56,
10/9/2012,$13212.26,
11/9/2012,$13298.26,
12/9/2012,$13401.46,
13/9/2012,$13874.46,
14/9/2012,$14014.21,
15/9/2012,$14014.21,
16/9/2012,$14014.21,
17/9/2012,$13906.71,
18/9/2012,$13880.91,
19/9/2012,$13898.11,
20/9/2012,$13900.26,
21/9/2012,$13719.66,
22/9/2012,$13719.66,
23/9/2012,$13719.66,
24/9/2012,$13672.36,
25/9/2012,$13339.11,
26/9/2012,$13164.96,
27/9/2012,$13455.21,
28/9/2012,$13311.16,
29/9/2012,$13311.16,
30/9/2012,$13311.16,
1/10/2012,$13392.86,
2/10/2012,$13425.11,
3/10/2012,$13551.96,
4/10/2012,$13775.56,
